regiao,estado,municipio,revenda,cnpj,endereco,rua,complemento,bairro,cep,produto,data,valor_venda,valor_compra,unidade_medida,bandeira
SE,SP,BARRETOS,AUTO POSTO AVENIDA DE BARRETOS LTDA," 53.917.506/0001-26",RUA 20 (NUMERACAO COM ZERO INICIAL),409," ",CENTRO,14780-660,GASOLINA ADITIVADA,01/12/2022,5.1,,R$ / litro,VIBRA ENERGIA
SE,SP,BARRETOS,AUTO POSTO AVENIDA DE BARRETOS LTDA," 53.917.506/0001-26",RUA 20 (NUMERACAO COM ZERO INICIAL),409," ",CENTRO,14780-660,GASOLINA,01/12/2022,5,,R$ / litro,VIBRA ENERGIA
SE,SP,BARRETOS,AUTO POSTO BARRETOS LTDA," 44.783.579/0001-81",AVENIDA 43,110,,CENTRO,14780-425,ETANOL,01/12/2022,3.8,,R$ / litro,BRANCA
SE,SP,BARRETOS,AUTO POSTO BARRETOS LTDA," 44.783.579/0001-81",AVENIDA 43,110,,CENTRO,14780-425,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,BRANCA
SE,SP,BARRETOS,AUTO POSTO BARRETOS LTDA," 44.783.579/0001-81",AVENIDA 43,110,,CENTRO,14780-425,GASOLINA,01/12/2022,5.2,,R$ / litro,BRANCA
SE,SP,BARRETOS,NATAL KIFOURI & CIA LTDA," 43.255.777/0001-00",PRACA SAO BENEDITO,83,,SAO BENEDITO,14780-399,ETANOL,01/12/2022,4,,R$ / litro,IPIRANGA
SE,SP,BARRETOS,NATAL KIFOURI & CIA LTDA," 43.255.777/0001-00",PRACA SAO BENEDITO,83,,SAO BENEDITO,14780-399,GASOLINA ADITIVADA,01/12/2022,5.6,,R$ / litro,IPIRANGA
SE,SP,BARRETOS,NATAL KIFOURI & CIA LTDA," 43.255.777/0001-00",PRACA SAO BENEDITO,83,,SAO BENEDITO,14780-399,GASOLINA,01/12/2022,5.4,,R$ / litro,IPIRANGA
SE,SP,BARUERI,BETHAVILLE AUTO POSTO LTDA.," 06.098.122/0001-49",AVENIDA MARGINAL PROJETADA,755,,BETHAVILLE,06404-326,GASOLINA,01/12/2022,5.9,,R$ / litro,VIBRA ENERGIA
SE,SP,BARUERI,AUTO POSTO DUQUE BARUERI LTDA.," 07.830.357/0001-46",RUA CAMPOS SALES,934,,CENTRO,06420-390,ETANOL,01/12/2022,4.3,,R$ / litro,VIBRA ENERGIA
SE,SP,BARUERI,AUTO POSTO DUQUE BARUERI LTDA.," 07.830.357/0001-46",RUA CAMPOS SALES,934,,CENTRO,06420-390,GASOLINA ADITIVADA,01/12/2022,5.9,,R$ / litro,VIBRA ENERGIA
SE,SP,BARUERI,AUTO POSTO DUQUE BARUERI LTDA.," 07.830.357/0001-46",RUA CAMPOS SALES,934,,CENTRO,06420-390,GASOLINA,01/12/2022,5.9,,R$ / litro,VIBRA ENERGIA
SE,SP,BARUERI,PLUS CENTER AUTO POSTO LTDA," 02.019.936/0001-90",AVENIDA ALPHAVILLE,590,,ALPHAVILLE,06436-240,ETANOL,01/12/2022,4.7,,R$ / litro,VIBRA ENERGIA
SE,SP,BARUERI,PLUS CENTER AUTO POSTO LTDA," 02.019.936/0001-90",AVENIDA ALPHAVILLE,590,,ALPHAVILLE,06436-240,GASOLINA ADITIVADA,01/12/2022,7,,R$ / litro,VIBRA ENERGIA
SE,SP,BARUERI,PLUS CENTER AUTO POSTO LTDA," 02.019.936/0001-90",AVENIDA ALPHAVILLE,590,,ALPHAVILLE,06436-240,GASOLINA,01/12/2022,7,,R$ / litro,VIBRA ENERGIA
